strain,type,potency,rating,review_count,reports,Anxiety ,Creative ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Focused ,Happy ,Headache ,Insomnia ,Pain ,Paranoid ,Stress ,Uplifted ,ADD/ADHD ,Fatigue ,Giggly ,Muscle spasms ,Relaxed ,Energetic ,Inflammation ,Cramps ,Headaches ,Sleepy ,Tingly ,Hungry ,Anxious ,PTSD ,Lack of appetite ,Talkative ,Nausea ,Bipolar disorder ,Fibromyalgia ,Spasticity ,Migraines ,Aroused ,Eye pressure ,Multiple sclerosis ,Gastrointestinal disorder ,Alzheimer's ,PMS ,Arthritis ,Epilepsy ,Seizures ,Asthma ,Parkinson's ,Spinal cord injury ,Tourette's syndrome ,Anorexia ,Tinnitus ,Cancer ,Muscular dystrophy ,Phantom limb pain ,Hypertension ,Crohn's disease ,Glaucoma ,HIV/AIDS 
#9 Blackberry,Unavailable,THC 29%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$100 OG,Hybrid,Unavailable,2.9,(508),332 people reported 2198 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['46% of people say it helps with anxiety'],['38% of people report feeling creative'],['24% of people say it helps with depression'],['13% of people report feeling dizzy'],['31% of people report feeling dry eyes'],['46% of people report feeling dry mouth'],['51% of people report feeling euphoric'],['24% of people report feeling focused'],['37% of people report feeling happy'],['10% of people report feeling headache'],['21% of people say it helps with insomnia'],['37% of people say it helps with pain'],['12% of people report feeling paranoid'],['50% of people say it helps with stress'],['37% of people report feeling uplifted'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'98 Aloha White Widow,Hybrid,Unavailable,4.8,(15),10 people reported 42 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,['30% of people report feeling dry mouth'],['60% of people report feeling euphoric'],,['40% of people report feeling happy'],,,,,,['30% of people report feeling uplifted'],['10% of people say it helps with add/adhd'],['10% of people say it helps with fatigue'],['40% of people report feeling giggly'],['10% of people say it helps with muscle spasms'],['70% of people report feeling relaxed'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Sativa,THC 13%,4.5,(61),37 people reported 206 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['16% of people say it helps with anxiety'],['29% of people report feeling creative'],['13% of people say it helps with depression'],['5% of people report feeling dizzy'],['18% of people report feeling dry eyes'],['21% of people report feeling dry mouth'],,,['48% of people report feeling happy'],,,['21% of people say it helps with pain'],,['18% of people say it helps with stress'],['48% of people report feeling uplifted'],,,,,['35% of people report feeling relaxed'],['40% of people report feeling energetic'],['13% of people say it helps with inflammation'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10th Planet,Hybrid,Unavailable,4.7,(11),8 people reported 45 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['12% of people say it helps with depression'],,,,['62% of people report feeling euphoric'],,['50% of people report feeling happy'],,,['25% of people say it helps with pain'],,,,,,,,['100% of people report feeling relaxed'],,['12% of people say it helps with inflammation'],['12% of people say it helps with cramps'],['12% of people say it helps with headaches'],['37% of people report feeling sleepy'],['50% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Year OG,Hybrid,Unavailable,3.0,(2),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Dawgs,Hybrid,Unavailable,4.1,(12),6 people reported 34 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['33% of people say it helps with depression'],,['16% of people report feeling dry eyes'],['50% of people report feeling dry mouth'],,,['50% of people report feeling happy'],,,,,['33% of people say it helps with stress'],['50% of people report feeling uplifted'],,['33% of people say it helps with fatigue'],,,['50% of people report feeling relaxed'],,,['33% of people say it helps with cramps'],['16% of people say it helps with headaches'],,['33% of people report feeling tingly'],['16% of people report feeling hungry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14er,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:1 Buddha's Smile,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:1 Punchinella,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Fast 2 Vast,Hybrid,Unavailable,3.0,(1),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Hybrid,THC 18%,4.1,(15),10 people reported 58 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['30% of people say it helps with anxiety'],,['20% of people say it helps with depression'],,,['10% of people report feeling dry mouth'],['50% of people report feeling euphoric'],['50% of people report feeling focused'],['50% of people report feeling happy'],['20% of people report feeling headache'],,['20% of people say it helps with pain'],,,['50% of people report feeling uplifted'],,['10% of people say it helps with fatigue'],,,,['50% of people report feeling energetic'],,,,,,,['10% of people report feeling anxious'],['20% of people say it helps with ptsd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24k Gold,Hybrid,THC 20%,4.5,(285),214 people reported 1413 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],['24% of people report feeling creative'],['24% of people say it helps with depression'],['6% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['23% of people report feeling dry mouth'],['42% of people report feeling euphoric'],,['56% of people report feeling happy'],['2% of people report feeling headache'],,['18% of people say it helps with pain'],,['28% of people say it helps with stress'],['45% of people report feeling uplifted'],,,,,['62% of people report feeling relaxed'],,,,,,,,['2% of people report feeling anxious'],['14% of people say it helps with ptsd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Pak,Hybrid,THC 18%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Bears OG,Indica,Unavailable,4.5,(10),7 people reported 48 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,,,['57% of people report feeling happy'],,['28% of people say it helps with insomnia'],['42% of people say it helps with pain'],,['42% of people say it helps with stress'],,,,['28% of people report feeling giggly'],['28% of people say it helps with muscle spasms'],['71% of people report feeling relaxed'],,,,,['42% of people report feeling sleepy'],,['42% of people report feeling hungry'],,,['42% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 In The Pink,Hybrid,THC 15%,5.0,(1),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Kings,Hybrid,THC 19%,4.4,(344),201 people reported 1501 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],['31% of people report feeling creative'],['31% of people say it helps with depression'],['5% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['21% of people report feeling dry mouth'],['48% of people report feeling euphoric'],,['58% of people report feeling happy'],,,['22% of people say it helps with pain'],['2% of people report feeling paranoid'],['35% of people say it helps with stress'],['48% of people report feeling uplifted'],,,,,['59% of people report feeling relaxed'],,,,,,,,['2% of people report feeling anxious'],,['17% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
303 Kush,Indica,Unavailable,4.2,(80),50 people reported 431 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],,['32% of people say it helps with depression'],['6% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['20% of people report feeling dry mouth'],['46% of people report feeling euphoric'],,['60% of people report feeling happy'],,['28% of people say it helps with insomnia'],['34% of people say it helps with pain'],,['42% of people say it helps with stress'],['46% of people report feeling uplifted'],,,,,['80% of people report feeling relaxed'],,,,,['44% of people report feeling sleepy'],,,['4% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33 Bananas,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D,Hybrid,THC 14%,4.5,(41),26 people reported 242 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['30% of people say it helps with anxiety'],['42% of people report feeling creative'],['34% of people say it helps with depression'],,['3% of people report feeling dry eyes'],['15% of people report feeling dry mouth'],['53% of people report feeling euphoric'],,['65% of people report feeling happy'],,,['42% of people say it helps with pain'],,['34% of people say it helps with stress'],['61% of people report feeling uplifted'],,,,['26% of people say it helps with muscle spasms'],['57% of people report feeling relaxed'],,,,,,,,['19% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D CBD,Sativa,Unavailable,4.4,(20),14 people reported 128 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['28% of people say it helps with depression'],,['7% of people report feeling dry eyes'],['14% of people report feeling dry mouth'],,['35% of people report feeling focused'],['57% of people report feeling happy'],,,['64% of people say it helps with pain'],,['57% of people say it helps with stress'],['50% of people report feeling uplifted'],,,,['35% of people say it helps with muscle spasms'],['71% of people report feeling relaxed'],,['42% of people say it helps with inflammation'],,,,['28% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3P,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3X Crazy,Indica,THC 13%,4.4,(148),106 people reported 793 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],,['26% of people say it helps with depression'],['3% of people report feeling dizzy'],['16% of people report feeling dry eyes'],['23% of people report feeling dry mouth'],['47% of people report feeling euphoric'],,['48% of people report feeling happy'],,['31% of people say it helps with insomnia'],['31% of people say it helps with pain'],['2% of people report feeling paranoid'],['38% of people say it helps with stress'],['31% of people report feeling uplifted'],,,,,['76% of people report feeling relaxed'],,,,,['38% of people report feeling sleepy'],,,['4% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd Coast Panama Chunk,Hybrid,Unavailable,4.5,(12),5 people reported 26 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['40% of people say it helps with depression'],,,,,,,,,['40% of people say it helps with pain'],,,['40% of people report feeling uplifted'],,['20% of people say it helps with fatigue'],,,,['40% of people report feeling energetic'],,,['20% of people say it helps with headaches'],['20% of people report feeling sleepy'],,['20% of people report feeling hungry'],,,['20% of people say it helps with lack of appetite'],['60% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Kings,Hybrid,Unavailable,5.0,(4),3 people reported 4 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,['66% of people report feeling euphoric'],,['33% of people report feeling happy'],,,,,,['33% of people report feeling uplifted'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Prophets,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405 Cookies,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Star,Unavailable,THC 18%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501st OG,Hybrid,THC 21%,4.6,(117),87 people reported 603 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],,['22% of people say it helps with depression'],['1% of people report feeling dizzy'],['6% of people report feeling dry eyes'],['19% of people report feeling dry mouth'],['44% of people report feeling euphoric'],,['47% of people report feeling happy'],['1% of people report feeling headache'],['31% of people say it helps with insomnia'],['32% of people say it helps with pain'],,['33% of people say it helps with stress'],['25% of people report feeling uplifted'],,,,,['81% of people report feeling relaxed'],,,,,['41% of people report feeling sleepy'],,,['1% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541 Kush,Hybrid,Unavailable,5.0,(1),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5k Puff,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5th Element,Indica,THC 21%,4.5,(78),53 people reported 374 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],,,,['11% of people report feeling dry eyes'],['11% of people report feeling dry mouth'],['50% of people report feeling euphoric'],['30% of people report feeling focused'],['47% of people report feeling happy'],['5% of people report feeling headache'],['20% of people say it helps with insomnia'],['26% of people say it helps with pain'],['5% of people report feeling paranoid'],['24% of people say it helps with stress'],['35% of people report feeling uplifted'],,,,['16% of people say it helps with muscle spasms'],['73% of people report feeling relaxed'],,,,,,,,['3% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60 Day Lemon,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60 Day Wonder,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66 Cookies,Hybrid,THC 19%,4.3,(3),1 people reported 10 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,,,['100% of people report feeling happy'],,,,,,['100% of people report feeling uplifted'],,,,,['100% of people report feeling relaxed'],,,,,,,['100% of people report feeling hungry'],['100% of people report feeling anxious'],,,['100% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Hybrid,THC 16%,4.3,(412),298 people reported 2175 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['32% of people say it helps with anxiety'],['41% of people report feeling creative'],['29% of people say it helps with depression'],['7% of people report feeling dizzy'],['17% of people report feeling dry eyes'],['32% of people report feeling dry mouth'],['45% of people report feeling euphoric'],,['46% of people report feeling happy'],['7% of people report feeling headache'],,['34% of people say it helps with pain'],['8% of people report feeling paranoid'],['43% of people say it helps with stress'],['42% of people report feeling uplifted'],,,,,['37% of people report feeling relaxed'],,,,,,,,,,,,['18% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
707 Truthband,Hybrid,THC 18%,4.3,(3),3 people reported 39 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['33% of people say it helps with depression'],,['33% of people report feeling dry eyes'],,['66% of people report feeling euphoric'],['100% of people report feeling focused'],['100% of people report feeling happy'],,,,,,['100% of people report feeling uplifted'],,['33% of people say it helps with fatigue'],,['33% of people say it helps with muscle spasms'],['66% of people report feeling relaxed'],,,,,,,,,,['33% of people say it helps with lack of appetite'],,,['66% of people say it helps with bipolar disorder'],,,,,,,,,,,,,,,,,,,,,,,,,
8 Ball Kush,Indica,THC 22%,4.2,(63),42 people reported 364 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['30% of people say it helps with depression'],,['9% of people report feeling dry eyes'],['19% of people report feeling dry mouth'],['38% of people report feeling euphoric'],,['57% of people report feeling happy'],['4% of people report feeling headache'],['26% of people say it helps with insomnia'],['40% of people say it helps with pain'],['4% of people report feeling paranoid'],['28% of people say it helps with stress'],['47% of people report feeling uplifted'],,,,,['78% of people report feeling relaxed'],,['26% of people say it helps with inflammation'],,,,,['30% of people report feeling hungry'],['4% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805 Glue,Hybrid,Unavailable,4.5,(13),10 people reported 69 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['30% of people say it helps with anxiety'],,['20% of people say it helps with depression'],,,,['50% of people report feeling euphoric'],,['60% of people report feeling happy'],,,['30% of people say it helps with pain'],,,['60% of people report feeling uplifted'],,,['50% of people report feeling giggly'],,['60% of people report feeling relaxed'],,['20% of people say it helps with inflammation'],['20% of people say it helps with cramps'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818 Headband,Hybrid,THC 19%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818 OG,Indica,Unavailable,4.7,(34),17 people reported 102 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],,['35% of people say it helps with depression'],,['11% of people report feeling dry eyes'],['17% of people report feeling dry mouth'],,,['47% of people report feeling happy'],,['29% of people say it helps with insomnia'],['23% of people say it helps with pain'],,,['29% of people report feeling uplifted'],,,,,['47% of people report feeling relaxed'],,,,['17% of people say it helps with headaches'],['29% of people report feeling sleepy'],['17% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
