strain,type,potency,rating,review_count,reports,Anxiety ,Anxious ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Happy ,Insomnia ,Pain ,Paranoid ,Relaxed ,Sleepy ,Stress ,Uplifted ,Hungry ,Creative ,Headache ,Energetic ,Fatigue ,PTSD ,Talkative ,Focused ,Headaches ,Lack of appetite ,Tingly ,Nausea ,Giggly ,Eye pressure ,Cramps ,Muscle spasms ,Bipolar disorder ,Inflammation ,Gastrointestinal disorder ,Migraines ,Asthma ,Aroused ,Spasticity ,ADD/ADHD ,PMS ,Arthritis ,Seizures ,Fibromyalgia ,Glaucoma ,Crohn's disease ,Cancer ,Spinal cord injury ,Hypertension ,Phantom limb pain ,Anorexia ,Epilepsy ,Tourette's syndrome ,Multiple sclerosis 
GG4,Hybrid,THC 20%,4.7,(4481),2988 people reported 22122 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],['4% of people report feeling anxious'],['23% of people say it helps with depression'],['5% of people report feeling dizzy'],['12% of people report feeling dry eyes'],['25% of people report feeling dry mouth'],['51% of people report feeling euphoric'],['54% of people report feeling happy'],['17% of people say it helps with insomnia'],['24% of people say it helps with pain'],['4% of people report feeling paranoid'],['67% of people report feeling relaxed'],['28% of people report feeling sleepy'],['30% of people say it helps with stress'],['39% of people report feeling uplifted'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wedding Cake,Hybrid,THC 22%,4.6,(1384),1072 people reported 5738 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['16% of people say it helps with anxiety'],['2% of people report feeling anxious'],['15% of people say it helps with depression'],['4% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['17% of people report feeling dry mouth'],['40% of people report feeling euphoric'],['49% of people report feeling happy'],['8% of people say it helps with insomnia'],['12% of people say it helps with pain'],['2% of people report feeling paranoid'],['59% of people report feeling relaxed'],,['19% of people say it helps with stress'],['36% of people report feeling uplifted'],['22% of people report feeling hungry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelato,Hybrid,THC 17%,4.6,(1822),1276 people reported 7759 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['20% of people say it helps with anxiety'],['3% of people report feeling anxious'],['19% of people say it helps with depression'],['4% of people report feeling dizzy'],['10% of people report feeling dry eyes'],['21% of people report feeling dry mouth'],['47% of people report feeling euphoric'],['50% of people report feeling happy'],['10% of people say it helps with insomnia'],['17% of people say it helps with pain'],['3% of people report feeling paranoid'],['55% of people report feeling relaxed'],,['23% of people say it helps with stress'],['38% of people report feeling uplifted'],,['26% of people report feeling creative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Dream,Hybrid,THC 18%,4.3,(13639),9394 people reported 70763 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],['3% of people report feeling anxious'],['27% of people say it helps with depression'],['6% of people report feeling dizzy'],['16% of people report feeling dry eyes'],['30% of people report feeling dry mouth'],['53% of people report feeling euphoric'],['58% of people report feeling happy'],['13% of people say it helps with insomnia'],['27% of people say it helps with pain'],['7% of people report feeling paranoid'],['49% of people report feeling relaxed'],,['37% of people say it helps with stress'],['49% of people report feeling uplifted'],,['38% of people report feeling creative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Punch,Indica,THC 19%,4.6,(1131),881 people reported 5255 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],['2% of people report feeling anxious'],['17% of people say it helps with depression'],['5% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['20% of people report feeling dry mouth'],['40% of people report feeling euphoric'],['46% of people report feeling happy'],['17% of people say it helps with insomnia'],['18% of people say it helps with pain'],,['69% of people report feeling relaxed'],['38% of people report feeling sleepy'],['24% of people say it helps with stress'],['25% of people report feeling uplifted'],,,['2% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Cream Cake,Indica,THC 21%,4.7,(500),427 people reported 2232 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['18% of people say it helps with anxiety'],['1% of people report feeling anxious'],['15% of people say it helps with depression'],['2% of people report feeling dizzy'],['7% of people report feeling dry eyes'],['13% of people report feeling dry mouth'],['41% of people report feeling euphoric'],['47% of people report feeling happy'],['12% of people say it helps with insomnia'],['16% of people say it helps with pain'],,['72% of people report feeling relaxed'],['37% of people report feeling sleepy'],['18% of people say it helps with stress'],['27% of people report feeling uplifted'],,,['1% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSC,Hybrid,THC 19%,4.4,(7181),4718 people reported 35792 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['26% of people say it helps with anxiety'],['4% of people report feeling anxious'],['26% of people say it helps with depression'],['5% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['26% of people report feeling dry mouth'],['53% of people report feeling euphoric'],['61% of people report feeling happy'],['14% of people say it helps with insomnia'],['25% of people say it helps with pain'],['4% of people report feeling paranoid'],['56% of people report feeling relaxed'],,['34% of people say it helps with stress'],['46% of people report feeling uplifted'],,['33% of people report feeling creative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sour Diesel,Sativa,THC 18%,4.3,(7880),5356 people reported 39613 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['26% of people say it helps with anxiety'],['4% of people report feeling anxious'],['26% of people say it helps with depression'],['7% of people report feeling dizzy'],['17% of people report feeling dry eyes'],['32% of people report feeling dry mouth'],['50% of people report feeling euphoric'],['58% of people report feeling happy'],,['22% of people say it helps with pain'],['9% of people report feeling paranoid'],,,['35% of people say it helps with stress'],['51% of people report feeling uplifted'],,['39% of people report feeling creative'],,['46% of people report feeling energetic'],['12% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG Kush,Hybrid,THC 18%,4.3,(5272),3624 people reported 27451 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],,['24% of people say it helps with depression'],['8% of people report feeling dizzy'],['21% of people report feeling dry eyes'],['35% of people report feeling dry mouth'],['51% of people report feeling euphoric'],['57% of people report feeling happy'],['21% of people say it helps with insomnia'],['28% of people say it helps with pain'],['8% of people report feeling paranoid'],['53% of people report feeling relaxed'],,['38% of people say it helps with stress'],['39% of people report feeling uplifted'],['31% of people report feeling hungry'],,['4% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unavailable,Hybrid,THC 17%,4.6,(268),215 people reported 925 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['10% of people say it helps with anxiety'],['1% of people report feeling anxious'],['11% of people say it helps with depression'],['2% of people report feeling dizzy'],['3% of people report feeling dry eyes'],['8% of people report feeling dry mouth'],['39% of people report feeling euphoric'],['49% of people report feeling happy'],,['6% of people say it helps with pain'],,['37% of people report feeling relaxed'],,['13% of people say it helps with stress'],['34% of people report feeling uplifted'],,,['0% of people report feeling headache'],,,['5% of people say it helps with ptsd'],['26% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
